TransactionDate,Description,DebitAmount,CreditAmount,Balance
2023-05-09,ATM WITHDRAWAL,9231.80,,841807.67
2023-05-11,UTILITY BILL,18258.50,,823549.17
2023-05-13,IMPS TRANSFER,7543.02,,816006.15
2023-05-14,SALARY,,7422.11,823428.26
2023-05-14,IMPS TRANSFER,4430.80,,818997.46
2023-05-15,REFUND,,39566.89,858564.35
2023-05-16,REFUND,,34931.82,893496.17
2023-05-18,POS PURCHASE,694.53,,892801.64
2023-05-19,INWARD REMITTANCE,,44018.98,936820.62
2023-05-19,SALARY,,33627.43,970448.05
2023-05-21,NEFT TRANSFER,,32884.52,1003332.57
2023-05-21,UTILITY BILL,1475.26,,1001857.31
2023-05-23,CASH DEPOSIT,,43888.84,1045746.15
2023-05-24,EMI DEBIT,9608.67,,1036137.48
2023-05-25,POS PURCHASE,889.27,,1035248.21
2023-05-25,EMI DEBIT,11307.21,,1023941.00
2023-05-26,CASH DEPOSIT,,35189.60,1059130.60
2023-05-28,POS PURCHASE,9046.73,,1050083.87
2023-05-28,POS PURCHASE,4327.52,,1045756.35
2023-05-29,IMPS TRANSFER,7208.36,,1038547.99
2023-05-31,CASH DEPOSIT,,36865.65,1075413.64
2023-05-31,SALARY,,11227.67,1086641.31
2023-05-31,SALARY,,38348.17,1124989.48
2023-05-31,POS PURCHASE,11283.70,,1113705.78
2023-06-02,CASH DEPOSIT,,36808.92,1150514.70
2023-06-02,NEFT TRANSFER,,48320.68,1198835.38
2023-06-04,CASH DEPOSIT,,3467.19,1202302.57
2023-06-04,INWARD REMITTANCE,,26721.33,1229023.90
2023-06-05,ATM WITHDRAWAL,14499.66,,1214524.24
2023-06-06,INWARD REMITTANCE,,43555.89,1258080.13
2023-06-07,EMI DEBIT,6747.63,,1251332.50
2023-06-08,REFUND,,28260.55,1279593.05
2023-06-08,ATM WITHDRAWAL,18060.18,,1261532.87
2023-06-08,CASH DEPOSIT,,29497.61,1291030.48
2023-06-08,CASH DEPOSIT,,33048.60,1324079.08
2023-06-08,CASH DEPOSIT,,26739.00,1350818.08
2023-06-10,IMPS TRANSFER,19709.00,,1331109.08
2023-06-12,SALARY,,41533.78,1372642.86
2023-06-12,POS PURCHASE,9042.14,,1363600.72
2023-06-14,ATM WITHDRAWAL,9930.92,,1353669.80
2023-06-16,POS PURCHASE,303.43,,1353366.37
2023-06-17,UTILITY BILL,11791.83,,1341574.54
2023-06-17,ATM WITHDRAWAL,14073.82,,1327500.72
2023-06-17,POS PURCHASE,12609.55,,1314891.17
2023-06-18,CASH DEPOSIT,,34629.50,1349520.67
2023-06-18,EMI DEBIT,7667.27,,1341853.40
2023-06-18,NEFT TRANSFER,,41514.22,1383367.62
2023-06-19,EMI DEBIT,14501.32,,1368866.30
2023-06-20,CASH DEPOSIT,,38715.20,1407581.50
2023-06-22,POS PURCHASE,17601.10,,1389980.40
2023-06-23,IMPS TRANSFER,120.03,,1389860.37
2023-06-23,EMI DEBIT,5676.30,,1384184.07
2023-06-23,UTILITY BILL,6031.26,,1378152.81
2023-06-24,NEFT TRANSFER,,31812.96,1409965.77
2023-06-25,UTILITY BILL,4319.11,,1405646.66
2023-06-27,SALARY,,3964.46,1409611.12
2023-06-28,INWARD REMITTANCE,,27899.79,1437510.91
2023-06-28,EMI DEBIT,19038.95,,1418471.96
2023-06-28,UTILITY BILL,18035.80,,1400436.16
2023-06-30,UTILITY BILL,3321.52,,1397114.64
2023-07-02,INWARD REMITTANCE,,20300.61,1417415.25
2023-07-04,SALARY,,35435.33,1452850.58
2023-07-05,ATM WITHDRAWAL,5699.94,,1447150.64
2023-07-06,POS PURCHASE,534.33,,1446616.31
2023-07-07,UTILITY BILL,11684.42,,1434931.89
2023-07-07,IMPS TRANSFER,12721.34,,1422210.55
2023-07-08,UTILITY BILL,19956.92,,1402253.63
2023-07-10,CASH DEPOSIT,,6748.32,1409001.95
2023-07-10,NEFT TRANSFER,,43549.50,1452551.45
2023-07-11,POS PURCHASE,3613.44,,1448938.01
2023-07-12,ATM WITHDRAWAL,3973.00,,1444965.01
2023-07-12,CASH DEPOSIT,,10143.59,1455108.60
2023-07-12,INWARD REMITTANCE,,45305.73,1500414.33
2023-07-12,UTILITY BILL,16081.09,,1484333.24
2023-07-12,CASH DEPOSIT,,18897.29,1503230.53
2023-07-12,SALARY,,39803.20,1543033.73
2023-07-14,ATM WITHDRAWAL,2104.33,,1540929.40
2023-07-16,CASH DEPOSIT,,34361.41,1575290.81
2023-07-17,UTILITY BILL,9362.40,,1565928.41
2023-07-19,ATM WITHDRAWAL,2120.60,,1563807.81
2023-07-21,SALARY,,27200.81,1591008.62
2023-07-23,INWARD REMITTANCE,,8850.95,1599859.57
2023-07-25,POS PURCHASE,3378.82,,1596480.75
2023-07-25,NEFT TRANSFER,,40024.70,1636505.45
2023-07-26,ATM WITHDRAWAL,16285.91,,1620219.54
2023-07-26,IMPS TRANSFER,784.24,,1619435.30
2023-07-28,EMI DEBIT,19296.23,,1600139.07
2023-07-28,REFUND,,6222.33,1606361.40
2023-07-30,INWARD REMITTANCE,,23562.11,1629923.51
2023-07-30,NEFT TRANSFER,,6875.03,1636798.54
2023-07-30,ATM WITHDRAWAL,8667.87,,1628130.67
2023-07-31,SALARY,,20946.76,1649077.43
2023-07-31,ATM WITHDRAWAL,16228.71,,1632848.72
2023-07-31,INWARD REMITTANCE,,39974.14,1672822.86
2023-08-02,IMPS TRANSFER,4110.27,,1668712.59
2023-08-02,ATM WITHDRAWAL,19091.18,,1649621.41
2023-08-02,POS PURCHASE,6557.47,,1643063.94
2023-08-03,POS PURCHASE,10584.15,,1632479.79
2023-08-03,INWARD REMITTANCE,,1578.52,1634058.31
2023-08-04,UTILITY BILL,10803.59,,1623254.72
2023-08-04,ATM WITHDRAWAL,16016.77,,1607237.95
2023-08-06,ATM WITHDRAWAL,9241.29,,1597996.66
2023-08-06,ATM WITHDRAWAL,18295.11,,1579701.55
2023-08-08,ATM WITHDRAWAL,13553.28,,1566148.27
2023-08-09,IMPS TRANSFER,13263.04,,1552885.23
2023-08-09,REFUND,,6723.64,1559608.87
2023-08-10,UTILITY BILL,17435.47,,1542173.40
2023-08-10,ATM WITHDRAWAL,2633.46,,1539539.94
2023-08-10,NEFT TRANSFER,,21510.43,1561050.37
2023-08-11,CASH DEPOSIT,,16696.66,1577747.03
2023-08-11,IMPS TRANSFER,7890.65,,1569856.38
2023-08-13,IMPS TRANSFER,15337.65,,1554518.73
2023-08-15,CASH DEPOSIT,,40625.85,1595144.58
2023-08-16,CASH DEPOSIT,,45954.68,1641099.26
2023-08-17,REFUND,,21920.34,1663019.60
2023-08-18,SALARY,,38540.78,1701560.38
2023-08-19,NEFT TRANSFER,,6979.65,1708540.03
2023-08-20,UTILITY BILL,19046.58,,1689493.45
2023-08-22,ATM WITHDRAWAL,2409.93,,1687083.52
2023-08-23,EMI DEBIT,16571.72,,1670511.80
2023-08-23,SALARY,,822.37,1671334.17
2023-08-25,UTILITY BILL,11631.42,,1659702.75
2023-08-26,REFUND,,30721.51,1690424.26
2023-08-26,CASH DEPOSIT,,42834.55,1733258.81
2023-08-27,CASH DEPOSIT,,46155.37,1779414.18
2023-08-28,CASH DEPOSIT,,28499.64,1807913.82
2023-08-28,ATM WITHDRAWAL,12708.94,,1795204.88
2023-08-29,CASH DEPOSIT,,6940.29,1802145.17
2023-08-29,POS PURCHASE,3528.95,,1798616.22
2023-08-30,IMPS TRANSFER,7037.93,,1791578.29
2023-08-30,ATM WITHDRAWAL,19100.21,,1772478.08
2023-08-31,ATM WITHDRAWAL,12876.07,,1759602.01
2023-08-31,SALARY,,20698.73,1780300.74
2023-09-02,NEFT TRANSFER,,40198.71,1820499.45
2023-09-04,EMI DEBIT,6467.41,,1814032.04
2023-09-05,IMPS TRANSFER,10221.21,,1803810.83
2023-09-05,ATM WITHDRAWAL,10649.77,,1793161.06
2023-09-06,INWARD REMITTANCE,,1928.73,1795089.79
2023-09-06,INWARD REMITTANCE,,1517.60,1796607.39
2023-09-06,CASH DEPOSIT,,41514.08,1838121.47
2023-09-06,POS PURCHASE,6312.51,,1831808.96
2023-09-07,IMPS TRANSFER,2317.61,,1829491.35
2023-09-09,REFUND,,37795.97,1867287.32
2023-09-09,IMPS TRANSFER,15122.76,,1852164.56
2023-09-11,ATM WITHDRAWAL,9914.66,,1842249.90
2023-09-11,UTILITY BILL,12244.74,,1830005.16
2023-09-13,CASH DEPOSIT,,17705.30,1847710.46
2023-09-14,IMPS TRANSFER,839.86,,1846870.60
2023-09-14,SALARY,,44416.86,1891287.46
2023-09-14,INWARD REMITTANCE,,2690.81,1893978.27
2023-09-15,REFUND,,30619.02,1924597.29
2023-09-16,CASH DEPOSIT,,42459.82,1967057.11
2023-09-18,ATM WITHDRAWAL,5055.50,,1962001.61
2023-09-18,EMI DEBIT,9940.51,,1952061.10
2023-09-18,INWARD REMITTANCE,,1311.15,1953372.25
2023-09-20,POS PURCHASE,9646.05,,1943726.20
2023-09-22,IMPS TRANSFER,6758.70,,1936967.50
2023-09-23,EMI DEBIT,15569.56,,1921397.94
2023-09-25,EMI DEBIT,13704.25,,1907693.69
2023-09-26,POS PURCHASE,17908.36,,1889785.33
2023-09-26,CASH DEPOSIT,,49355.21,1939140.54
2023-09-28,CASH DEPOSIT,,11817.95,1950958.49
2023-09-28,IMPS TRANSFER,5742.85,,1945215.64
2023-09-28,NEFT TRANSFER,,44274.61,1989490.25
2023-09-28,UTILITY BILL,1678.10,,1987812.15
2023-09-28,IMPS TRANSFER,10655.38,,1977156.77
2023-09-28,ATM WITHDRAWAL,10138.63,,1967018.14
2023-09-28,CASH DEPOSIT,,21287.50,1988305.64
2023-09-28,CASH DEPOSIT,,45349.98,2033655.62
2023-09-30,INWARD REMITTANCE,,3465.51,2037121.13
2023-10-01,INWARD REMITTANCE,,33914.21,2071035.34
2023-10-01,SALARY,,15544.95,2086580.29
2023-10-02,IMPS TRANSFER,13588.24,,2072992.05
2023-10-02,CASH DEPOSIT,,49317.25,2122309.30
2023-10-03,CASH DEPOSIT,,22363.25,2144672.55
2023-10-03,REFUND,,49005.95,2193678.50
2023-10-04,INWARD REMITTANCE,,28896.94,2222575.44
2023-10-06,REFUND,,10144.83,2232720.27
2023-10-06,SALARY,,9191.88,2241912.15
2023-10-07,POS PURCHASE,12607.74,,2229304.41
2023-10-07,SALARY,,35663.60,2264968.01
2023-10-08,NEFT TRANSFER,,19598.20,2284566.21
2023-10-08,NEFT TRANSFER,,29417.12,2313983.33
2023-10-08,NEFT TRANSFER,,1208.94,2315192.27
2023-10-08,CASH DEPOSIT,,18045.65,2333237.92
2023-10-10,SALARY,,14200.92,2347438.84
2023-10-10,REFUND,,15239.82,2362678.66
2023-10-12,CASH DEPOSIT,,15857.03,2378535.69
2023-10-13,NEFT TRANSFER,,40854.32,2419390.01
2023-10-14,NEFT TRANSFER,,15893.74,2435283.75
2023-10-15,NEFT TRANSFER,,30927.67,2466211.42
2023-10-15,IMPS TRANSFER,16255.71,,2449955.71
2023-10-15,UTILITY BILL,5048.05,,2444907.66
2023-10-15,NEFT TRANSFER,,2951.50,2447859.16
2023-10-16,REFUND,,30177.73,2478036.89
2023-10-16,SALARY,,15144.95,2493181.84
2023-10-18,EMI DEBIT,2277.30,,2490904.54
2023-10-20,EMI DEBIT,16758.79,,2474145.75
2023-10-22,IMPS TRANSFER,3134.94,,2471010.81
2023-10-22,NEFT TRANSFER,,46525.63,2517536.44
2023-10-24,INWARD REMITTANCE,,38574.04,2556110.48
2023-10-25,EMI DEBIT,12726.03,,2543384.45
2023-10-25,ATM WITHDRAWAL,13977.21,,2529407.24
2023-10-27,CASH DEPOSIT,,27448.52,2556855.76
2023-10-29,CASH DEPOSIT,,14493.94,2571349.70
2023-10-30,IMPS TRANSFER,14854.40,,2556495.30
2023-11-01,POS PURCHASE,5759.32,,2550735.98
2023-11-01,UTILITY BILL,14888.77,,2535847.21
2023-11-02,SALARY,,45763.39,2581610.60
2023-11-02,EMI DEBIT,16874.54,,2564736.06
2023-11-03,REFUND,,22424.19,2587160.25
2023-11-04,EMI DEBIT,15123.17,,2572037.08
2023-11-04,EMI DEBIT,11203.75,,2560833.33
2023-11-05,POS PURCHASE,9054.20,,2551779.13
2023-11-07,REFUND,,39001.76,2590780.89
2023-11-08,REFUND,,44483.00,2635263.89
2023-11-08,IMPS TRANSFER,14791.90,,2620471.99
2023-11-09,UTILITY BILL,7987.06,,2612484.93
2023-11-10,REFUND,,21471.29,2633956.22
2023-11-11,REFUND,,8625.79,2642582.01
2023-11-11,POS PURCHASE,4151.97,,2638430.04
2023-11-11,IMPS TRANSFER,12991.06,,2625438.98
2023-11-13,POS PURCHASE,1507.83,,2623931.15
2023-11-13,CASH DEPOSIT,,21368.46,2645299.61
2023-11-13,ATM WITHDRAWAL,13542.52,,2631757.09
2023-11-14,IMPS TRANSFER,1972.07,,2629785.02
2023-11-16,SALARY,,36888.51,2666673.53
2023-11-17,IMPS TRANSFER,18632.90,,2648040.63
2023-11-19,POS PURCHASE,8650.36,,2639390.27
2023-11-21,UTILITY BILL,8658.83,,2630731.44
2023-11-23,SALARY,,18599.03,2649330.47
2023-11-25,IMPS TRANSFER,5291.47,,2644039.00
2023-11-25,POS PURCHASE,12440.05,,2631598.95
2023-11-26,IMPS TRANSFER,8182.65,,2623416.30
2023-11-27,SALARY,,710.29,2624126.59
2023-11-27,INWARD REMITTANCE,,7268.48,2631395.07
2023-11-28,SALARY,,41251.82,2672646.89
2023-11-30,POS PURCHASE,12539.81,,2660107.08
2023-11-30,ATM WITHDRAWAL,15442.41,,2644664.67
2023-12-02,REFUND,,33765.50,2678430.17
2023-12-03,ATM WITHDRAWAL,4197.65,,2674232.52
2023-12-03,NEFT TRANSFER,,25509.65,2699742.17
2023-12-04,SALARY,,4898.11,2704640.28
2023-12-04,EMI DEBIT,7021.11,,2697619.17
2023-12-04,NEFT TRANSFER,,32093.23,2729712.40
2023-12-06,POS PURCHASE,2759.74,,2726952.66
2023-12-07,EMI DEBIT,5154.38,,2721798.28
2023-12-09,SALARY,,43945.74,2765744.02
2023-12-09,POS PURCHASE,7938.61,,2757805.41
2023-12-09,ATM WITHDRAWAL,5467.45,,2752337.96
2023-12-11,SALARY,,2825.14,2755163.10
2023-12-11,CASH DEPOSIT,,9653.48,2764816.58
2023-12-12,EMI DEBIT,17298.07,,2747518.51
2023-12-12,INWARD REMITTANCE,,22834.84,2770353.35
2023-12-12,POS PURCHASE,201.76,,2770151.59
2023-12-13,SALARY,,38271.87,2808423.46
2023-12-13,NEFT TRANSFER,,16099.10,2824522.56
2023-12-13,POS PURCHASE,4802.01,,2819720.55
2023-12-13,UTILITY BILL,18954.23,,2800766.32
2023-12-14,UTILITY BILL,15674.92,,2785091.40
2023-12-15,NEFT TRANSFER,,4847.96,2789939.36
2023-12-15,UTILITY BILL,1415.42,,2788523.94
2023-12-17,EMI DEBIT,12703.52,,2775820.42
2023-12-18,NEFT TRANSFER,,20919.31,2796739.73
2023-12-20,POS PURCHASE,10459.71,,2786280.02
2023-12-20,CASH DEPOSIT,,29898.71,2816178.73
2023-12-22,UTILITY BILL,7557.29,,2808621.44
2023-12-23,UTILITY BILL,12723.89,,2795897.55
2023-12-24,SALARY,,43960.19,2839857.74
2023-12-24,REFUND,,196.55,2840054.29
2023-12-26,EMI DEBIT,10533.02,,2829521.27
2023-12-27,EMI DEBIT,5502.84,,2824018.43
2023-12-29,CASH DEPOSIT,,2126.30,2826144.73
2023-12-31,IMPS TRANSFER,12709.58,,2813435.15
2024-01-02,IMPS TRANSFER,3213.18,,2810221.97
2024-01-02,POS PURCHASE,2833.08,,2807388.89
2024-01-02,SALARY,,48270.36,2855659.25
2024-01-04,NEFT TRANSFER,,28494.50,2884153.75
2024-01-06,IMPS TRANSFER,2480.78,,2881672.97
2024-01-07,EMI DEBIT,9085.87,,2872587.10
2024-01-07,CASH DEPOSIT,,749.66,2873336.76
2024-01-08,INWARD REMITTANCE,,43302.37,2916639.13
2024-01-09,NEFT TRANSFER,,31090.87,2947730.00
2024-01-11,SALARY,,27136.69,2974866.69
2024-01-11,POS PURCHASE,16228.62,,2958638.07
2024-01-13,REFUND,,22420.86,2981058.93
2024-01-13,REFUND,,27520.39,3008579.32
2024-01-13,POS PURCHASE,12447.10,,2996132.22
2024-01-15,POS PURCHASE,7201.13,,2988931.09
2024-01-16,IMPS TRANSFER,14099.18,,2974831.91
2024-01-18,UTILITY BILL,5855.44,,2968976.47
2024-01-19,REFUND,,32432.99,3001409.46
2024-01-20,EMI DEBIT,2052.05,,2999357.41
2024-01-21,SALARY,,15770.77,3015128.18
2024-01-22,ATM WITHDRAWAL,16559.50,,2998568.68
2024-01-22,INWARD REMITTANCE,,23219.31,3021787.99
2024-01-22,UTILITY BILL,6095.82,,3015692.17
2024-01-23,IMPS TRANSFER,2927.37,,3012764.80
2024-01-25,SALARY,,4862.37,3017627.17
2024-01-25,ATM WITHDRAWAL,13041.08,,3004586.09
2024-01-25,SALARY,,25187.23,3029773.32
2024-01-25,SALARY,,20064.83,3049838.15
2024-01-26,IMPS TRANSFER,9125.10,,3040713.05
2024-01-27,INWARD REMITTANCE,,37891.42,3078604.47
2024-01-28,UTILITY BILL,18765.80,,3059838.67
2024-01-28,CASH DEPOSIT,,45824.03,3105662.70
2024-01-30,NEFT TRANSFER,,30069.54,3135732.24
2024-01-30,POS PURCHASE,19192.05,,3116540.19
2024-02-01,EMI DEBIT,13906.35,,3102633.84
2024-02-02,ATM WITHDRAWAL,9336.69,,3093297.15
2024-02-04,SALARY,,4023.15,3097320.30
2024-02-06,REFUND,,20340.04,3117660.34
2024-02-06,INWARD REMITTANCE,,2929.79,3120590.13
2024-02-06,CASH DEPOSIT,,39635.69,3160225.82
2024-02-08,REFUND,,45286.26,3205512.08
2024-02-09,NEFT TRANSFER,,45816.13,3251328.21
2024-02-09,EMI DEBIT,6007.09,,3245321.12
2024-02-11,INWARD REMITTANCE,,6657.73,3251978.85
2024-02-12,SALARY,,34194.07,3286172.92
2024-02-13,CASH DEPOSIT,,32349.36,3318522.28
2024-02-13,CASH DEPOSIT,,24824.43,3343346.71
2024-02-13,POS PURCHASE,15146.22,,3328200.49
2024-02-13,SALARY,,37039.99,3365240.48
2024-02-14,INWARD REMITTANCE,,24079.96,3389320.44
2024-02-16,UTILITY BILL,15356.00,,3373964.44
2024-02-17,REFUND,,19986.16,3393950.60
2024-02-19,UTILITY BILL,19188.27,,3374762.33
2024-02-21,UTILITY BILL,10061.22,,3364701.11
2024-02-22,EMI DEBIT,17131.30,,3347569.81
2024-02-22,CASH DEPOSIT,,44220.92,3391790.73
2024-02-22,EMI DEBIT,14996.83,,3376793.90
2024-02-23,POS PURCHASE,17724.15,,3359069.75
2024-02-24,INWARD REMITTANCE,,48743.86,3407813.61
2024-02-24,CASH DEPOSIT,,2894.86,3410708.47
2024-02-24,INWARD REMITTANCE,,35591.77,3446300.24
2024-02-25,CASH DEPOSIT,,21378.34,3467678.58
2024-02-27,IMPS TRANSFER,12668.61,,3455009.97
2024-02-28,UTILITY BILL,12525.33,,3442484.64
2024-03-01,EMI DEBIT,9792.72,,3432691.92
2024-03-03,UTILITY BILL,696.27,,3431995.65
2024-03-03,CASH DEPOSIT,,29814.65,3461810.30
2024-03-03,REFUND,,13201.61,3475011.91
2024-03-03,SALARY,,23388.56,3498400.47
2024-03-03,POS PURCHASE,9886.49,,3488513.98
2024-03-04,POS PURCHASE,8708.04,,3479805.94
2024-03-04,SALARY,,41051.62,3520857.56
2024-03-06,EMI DEBIT,3660.01,,3517197.55
2024-03-07,NEFT TRANSFER,,36790.05,3553987.60
2024-03-09,IMPS TRANSFER,19393.11,,3534594.49
2024-03-09,UTILITY BILL,15978.78,,3518615.71
2024-03-10,EMI DEBIT,4568.33,,3514047.38
2024-03-10,REFUND,,11566.65,3525614.03
2024-03-10,UTILITY BILL,13592.42,,3512021.61
2024-03-12,UTILITY BILL,3442.64,,3508578.97
2024-03-14,NEFT TRANSFER,,31881.95,3540460.92
2024-03-14,SALARY,,43431.05,3583891.97
2024-03-15,IMPS TRANSFER,18503.60,,3565388.37
2024-03-17,POS PURCHASE,17765.46,,3547622.91
2024-03-19,SALARY,,29776.03,3577398.94
2024-03-21,UTILITY BILL,9079.15,,3568319.79
2024-03-22,REFUND,,11871.99,3580191.78
2024-03-24,IMPS TRANSFER,19334.65,,3560857.13
2024-03-26,NEFT TRANSFER,,3681.81,3564538.94
2024-03-27,CASH DEPOSIT,,25120.28,3589659.22
2024-03-28,CASH DEPOSIT,,22544.87,3612204.09
2024-03-30,NEFT TRANSFER,,43319.09,3655523.18
2024-03-30,REFUND,,35394.02,3690917.20
2024-04-01,CASH DEPOSIT,,33339.07,3724256.27
2024-04-01,ATM WITHDRAWAL,1302.23,,3722954.04
2024-04-03,UTILITY BILL,8875.27,,3714078.77
2024-04-05,IMPS TRANSFER,18487.86,,3695590.91
2024-04-06,NEFT TRANSFER,,14344.62,3709935.53
2024-04-07,ATM WITHDRAWAL,8021.89,,3701913.64
2024-04-09,INWARD REMITTANCE,,18200.50,3720114.14
2024-04-09,EMI DEBIT,339.97,,3719774.17
